GGDENAME,Energieträger_Label,Anzahl
Courtelary,Sonne,2
Courtelary,Weitere,92
Crémines,Elektrizität,11
Crémines,Geothermie,1
Crémines,Heizöl,121
Crémines,Holz,51
Crémines,Keine,6
Crémines,Luft,20
Crémines,Sonne,1
Crémines,Weitere,8
Deisswil bei Münchenbuchsee,Elektrizität,1
Deisswil bei Münchenbuchsee,Fernwärme,5
Deisswil bei Münchenbuchsee,Holz,18
Deisswil bei Münchenbuchsee,Keine,3
Deisswil bei Münchenbuchsee,Luft,1
Deisswil bei Münchenbuchsee,Wasser,1
Deisswil bei Münchenbuchsee,Weitere,2
Diemtigen,Elektrizität,53
Diemtigen,Fernwärme,31
Diemtigen,Gas,1
Diemtigen,Heizöl,326
Diemtigen,Holz,600
Diemtigen,Keine,243
Diemtigen,Luft,35
Diemtigen,Sonne,1
Diemtigen,Wasser,1
Diemtigen,Weitere,112
Diessbach bei Büren,Elektrizität,10
Diessbach bei Büren,Fernwärme,2
Diessbach bei Büren,Gas,2
Diessbach bei Büren,Geothermie,2
Diessbach bei Büren,Heizöl,172
Diessbach bei Büren,Holz,43
Diessbach bei Büren,Keine,2
Diessbach bei Büren,Luft,22
Diessbach bei Büren,Weitere,63
Dotzigen,Elektrizität,22
Dotzigen,Fernwärme,9
Dotzigen,Gas,4
Dotzigen,Geothermie,1
Dotzigen,Heizöl,206
Dotzigen,Holz,43
Dotzigen,Keine,16
Dotzigen,Luft,52
Dotzigen,Sonne,1
Dotzigen,Wasser,2
Dotzigen,Weitere,79
Därligen,Elektrizität,8
Därligen,Heizöl,92
Därligen,Holz,50
Därligen,Keine,9
Därligen,Luft,13
Därligen,Sonne,1
Därligen,Weitere,12
Därstetten,Elektrizität,9
Därstetten,Fernwärme,12
Därstetten,Gas,1
Därstetten,Geothermie,1
Därstetten,Heizöl,110
Därstetten,Holz,145
Därstetten,Keine,60
Därstetten,Luft,20
Därstetten,Weitere,31
Dürrenroth,Elektrizität,23
Dürrenroth,Fernwärme,1
Dürrenroth,Gas,4
Dürrenroth,Geothermie,3
Dürrenroth,Heizöl,99
Dürrenroth,Holz,198
Dürrenroth,Keine,15
Dürrenroth,Luft,14
Dürrenroth,Sonne,2
Dürrenroth,Wasser,1
Dürrenroth,Weitere,40
Eggiwil,Elektrizität,26
Eggiwil,Fernwärme,4
Eggiwil,Geothermie,1
Eggiwil,Heizöl,164
Eggiwil,Holz,537
Eggiwil,Keine,11
Eggiwil,Luft,15
Eggiwil,Sonne,1
Eggiwil,Wasser,2
Eggiwil,Weitere,59
Epsach,Elektrizität,5
Epsach,Heizöl,49
Epsach,Holz,27
Epsach,Keine,2
Epsach,Luft,13
Epsach,Weitere,18
Eriswil,Elektrizität,14
Eriswil,Fernwärme,3
Eriswil,Gas,1
Eriswil,Geothermie,1
Eriswil,Heizöl,155
Eriswil,Holz,232
Eriswil,Keine,11
Eriswil,Luft,22
Eriswil,Weitere,29
Eriz,Elektrizität,15
Eriz,Fernwärme,2
Eriz,Gas,1
Eriz,Heizöl,62
Eriz,Holz,123
Eriz,Keine,8
Eriz,Luft,13
Eriz,Sonne,3
Eriz,Weitere,10
Erlach,Elektrizität,38
Erlach,Fernwärme,2
Erlach,Gas,3
Erlach,Geothermie,9
Erlach,Heizöl,255
Erlach,Holz,38
Erlach,Keine,32
Erlach,Luft,40
Erlach,Sonne,4
Erlach,Weitere,43
Erlenbach im Simmental,Elektrizität,34
Erlenbach im Simmental,Fernwärme,58
Erlenbach im Simmental,Geothermie,4
Erlenbach im Simmental,Heizöl,187
Erlenbach im Simmental,Holz,283
Erlenbach im Simmental,Keine,35
Erlenbach im Simmental,Luft,38
Erlenbach im Simmental,Sonne,2
Erlenbach im Simmental,Weitere,64
Ersigen,Elektrizität,63
Ersigen,Fernwärme,9
Ersigen,Gas,43
Ersigen,Geothermie,8
Ersigen,Heizöl,264
Ersigen,Holz,171
Ersigen,Keine,6
Ersigen,Luft,37
Ersigen,Sonne,2
Ersigen,Wasser,3
Ersigen,Weitere,64
Eschert,Elektrizität,8
Eschert,Geothermie,2
Eschert,Heizöl,85
Eschert,Holz,17
Eschert,Keine,4
Eschert,Luft,14
Eschert,Weitere,11
Evilard,Elektrizität,29
Evilard,Fernwärme,6
Evilard,Gas,322
Evilard,Geothermie,2
Evilard,Heizöl,230
Evilard,Holz,51
Evilard,Keine,16
Evilard,Luft,34
Evilard,Sonne,1
Evilard,Weitere,48
Fahrni,Elektrizität,14
Fahrni,Gas,2
Fahrni,Geothermie,4
Fahrni,Heizöl,54
Fahrni,Holz,95
Fahrni,Keine,8
Fahrni,Luft,12
Fahrni,Sonne,2
Fahrni,Weitere,41
Farnern,Elektrizität,19
Farnern,Fernwärme,2
Farnern,Heizöl,55
Farnern,Holz,22
Farnern,Keine,7
Farnern,Luft,4
Farnern,Sonne,1
Farnern,Weitere,7
Ferenbalm,Elektrizität,31
Ferenbalm,Fernwärme,1
Ferenbalm,Geothermie,6
Ferenbalm,Heizöl,206
Ferenbalm,Holz,80
Ferenbalm,Keine,14
Ferenbalm,Luft,24
Ferenbalm,Sonne,1
Ferenbalm,Wasser,2
Ferenbalm,Weitere,67
Finsterhennen,Elektrizität,8
Finsterhennen,Geothermie,5
Finsterhennen,Heizöl,94
Finsterhennen,Holz,7
Finsterhennen,Keine,4
Finsterhennen,Luft,13
Finsterhennen,Weitere,28
Forst-Längenbühl,Elektrizität,13
Forst-Längenbühl,Fernwärme,2
Forst-Längenbühl,Gas,11
Forst-Längenbühl,Heizöl,62
Forst-Längenbühl,Holz,70
Forst-Längenbühl,Keine,19
Forst-Längenbühl,Luft,12
Forst-Längenbühl,Sonne,10
Forst-Längenbühl,Weitere,31
Fraubrunnen,Elektrizität,100
Fraubrunnen,Fernwärme,60
Fraubrunnen,Gas,9
Fraubrunnen,Geothermie,27
Fraubrunnen,Heizöl,634
Fraubrunnen,Holz,247
Fraubrunnen,Keine,35
Fraubrunnen,Luft,108
Fraubrunnen,Sonne,4
Fraubrunnen,Wasser,26
Fraubrunnen,Weitere,362
Frauenkappelen,Elektrizität,31
Frauenkappelen,Fernwärme,5
Frauenkappelen,Gas,1
Frauenkappelen,Geothermie,12
Frauenkappelen,Heizöl,168
Frauenkappelen,Holz,66
Frauenkappelen,Keine,6
Frauenkappelen,Luft,21
Frauenkappelen,Sonne,2
Frauenkappelen,Weitere,33
Freimettigen,Elektrizität,2
Freimettigen,Fernwärme,4
Freimettigen,Gas,3
Freimettigen,Geothermie,1
Freimettigen,Heizöl,31
Freimettigen,Holz,32
Freimettigen,Keine,2
Freimettigen,Luft,7
Freimettigen,Weitere,16
Frutigen,Elektrizität,197
Frutigen,Fernwärme,87
Frutigen,Gas,1
Frutigen,Geothermie,9
Frutigen,Heizöl,867
Frutigen,Holz,686
Frutigen,Keine,194
Frutigen,Luft,81
Frutigen,Sonne,6
Frutigen,Wasser,2
Frutigen,Weitere,215
Gals,Elektrizität,11
Gals,Fernwärme,24
Gals,Gas,1
Gals,Geothermie,7
Gals,Heizöl,110
Gals,Holz,25
Gals,Keine,16
Gals,Luft,26
Gals,Weitere,61
Gampelen,Elektrizität,23
Gampelen,Fernwärme,3
Gampelen,Gas,10
Gampelen,Geothermie,3
Gampelen,Heizöl,135
Gampelen,Holz,37
Gampelen,Keine,41
Gampelen,Luft,35
Gampelen,Weitere,52
Gerzensee,Elektrizität,23
Gerzensee,Fernwärme,7
Gerzensee,Gas,6
Gerzensee,Geothermie,10
Gerzensee,Heizöl,149
Gerzensee,Holz,71
Gerzensee,Keine,27
Gerzensee,Luft,22
Gerzensee,Sonne,2
Gerzensee,Weitere,81
Gondiswil,Elektrizität,16
Gondiswil,Geothermie,2
Gondiswil,Heizöl,77
Gondiswil,Holz,121
Gondiswil,Keine,12
Gondiswil,Luft,7
Gondiswil,Weitere,29
Graben,Elektrizität,9
Graben,Fernwärme,2
Graben,Geothermie,1
Graben,Heizöl,29
Graben,Holz,38
Graben,Keine,6
Graben,Luft,6
Graben,Sonne,1
Graben,Weitere,25
Grandval,Elektrizität,9
Grandval,Fernwärme,1
Grandval,Gas,1
Grandval,Heizöl,70
Grandval,Holz,42
Grandval,Keine,5
Grandval,Luft,7
Grandval,Sonne,3
Grandval,Weitere,24
Grindelwald,Elektrizität,201
Grindelwald,Fernwärme,122
Grindelwald,Gas,1
Grindelwald,Heizöl,1129
Grindelwald,Holz,496
Grindelwald,Keine,126
Grindelwald,Luft,122
Grindelwald,Sonne,5
Grindelwald,Wasser,2
Grindelwald,Weitere,80
Grossaffoltern,Elektrizität,36
Grossaffoltern,Fernwärme,14
Grossaffoltern,Gas,5
Grossaffoltern,Geothermie,25
Grossaffoltern,Heizöl,525
Grossaffoltern,Holz,162
Grossaffoltern,Keine,11
Grossaffoltern,Luft,120
Grossaffoltern,Sonne,3
Grossaffoltern,Weitere,145
Grosshöchstetten,Elektrizität,106
